File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Kirundi_Length
,Akaryôshe ntíkaryá umwé.,"Rien de délicieux n'est mangé par un seul, car la joie est mieux partagée et multipliée en compagnie.","No delicious thing is eaten by only one, for joy is best shared and multiplied in company.",proverbs,,,,,,,24.0
,Akarênganyo sí ak'ŭbu.,L'injustice a toujours existé.,Injustice has always been.,proverbs,,,,,,,22.0
,Akarí kure karya nyené amaguru.,Les courageux s'aventurent vers l'inatteignable et trouvent des récompenses.,The brave venture towards the unreachable and find rewards.,proverbs,,,,,,,31.0
,Akarí kure ntíkabá indâro.,Une maison éloignée n'est pas un vrai foyer.,A distant house isn't a true home.,proverbs,,,,,,,26.0
,Akarí mu rugό ní ko karuvúna.,Un défaut ignoré au sein du groupe finira par le dévaster.,A flaw ignored within the group will eventually devastate it.,proverbs,,,,,,,29.0
,Akarí mū nda y'íngoma kamenywa n'úwayíkanye.,Celui qui a fait le tambour sait ce qu'il y a à l'intérieur.,The one who made the drum knows what is inside.,proverbs,,,,,,,44.0
,Akarí mū nda y'úmugabo gaserurwa n'ákarí mū nda y'úmubĭndi.,"Quand le vin est dedans, les secrets sortent.","When the wine is in, the secrets come out.",proverbs,,,,,,,59.0
,Akarí mū ndyá ní yo ndyá.,L'estomac vide n'a pas de choix.,The empty stomach has no choice.,proverbs,,,,,,,25.0
,Akarími kakurésha sí ko kakurŏngora.,Tous les prétendants ne sont pas destinés à être des époux.,Not every suitor is destined to be a spouse.,proverbs,,,,,,,36.0
,Akarúta akăndi karakamira.,"Dans la cour de la force, les puissants ont le pouvoir.","In the court of strength, the powerful hold sway.",proverbs,,,,,,,26.0
,Akarēnge kajá iyó kavūká ntígahāndwá.,"En rentrant chez soi après un long voyage, les difficultés rencontrées semblent insignifiantes.","When returning home after a long trip, the hardships faced seem insignificant.",proverbs,,,,,,,37.0
,Akarēnge mu gusēzera kānka gukānda isí.,Les adieux ne sont jamais faciles.,Farewells are never easy.,proverbs,,,,,,,39.0
,Akatáretsé kaba gásema.,L'incapacité d'une personne à rompre avec les mauvaises habitudes conduit à des problèmes pour elle et pour les autres.,A person's unwillingness to break bad habits leads to trouble for them and others.,proverbs,,,,,,,23.0
,Akatári nk'ákăndi aba arí ishano.,Le mouton noir du troupeau est souvent vu comme le fauteur de troubles.,The black sheep in the flock is often seen as the troublemaker.,proverbs,,,,,,,33.0
,Akatávugá ntígahēndá akavúga.,"Une pierre peut être ancienne, mais elle n'a pas la sagesse d'un esprit vivant.","A stone may be ancient, but it holds no wisdom compared to a living mind.",proverbs,,,,,,,29.0
,Akayabu gahiga imbeba.,Le chat chasse une souris.,The cat chases a mouse.,general,,,,,,,22.0
,Akayabu karahiga imbeba.,Le chat chasse une souris.,The cat chases a mouse.,general,,,,,,,24.0
,Akayabu karyamye ku ntebe.,Le chat dort sur le canapé.,The cat is sleeping on the sofa.,general,,,,,,,26.0
,Akayabu karyamye kuntebe.,Le chat dort sur le canapé.,The cat is sleeping on the sofa.,general,,,,,,,25.0
,Akayaga ntikagira agatotsi,L'air est pur.,The air is pure.,general,,,,,,,26.0
,Akazi kanyu nakahe?,Quel est votre travail?,What is your job?,general,,,,,,,19.0
,Akazi k’í bwămi kīca uwĭcaye.,"Le palais peut avoir de l'or, mais il a aussi de lourds fardeaux..","The palace may have gold, but it also has heavy burdens.",proverbs,,,,,,,29.0
,Akaziri karîzana.,Le malheur arrive sans annonce.,Misfortune comes without announcement.,proverbs,,,,,,,17.0
,Akaziri ntíkaziríkwa.,"Les problèmes frappent à chaque porte, grande ou petite.","Troubles knock on every door, big or small.",proverbs,,,,,,,21.0
,Akazímiye ntáho katarōndérerwa.,"Dans le labyrinthe de la perte, cherche chaque passage possible.","In the labyrinth of loss, seek every possible passage.",proverbs,,,,,,,31.0
,Akazîkīrá k'úmugabo kazīkwa n'îsí.,La tombe cache l'animosité d'un homme.,The tomb conceals a man's animosity.,proverbs,,,,,,,34.0
,Akora ikarashishi kenshi,Il fait du sport régulièrement.,He exercises regularly.,general,,,,,,,24.0
,Akora ikí ?,Que fait-il ?,What does he do?,jokes,,,,,,,11.0
,Akorera mu biro.,Il travaille dans un bureau.,He works in an office.,general,,,,,,,16.0
,Akâna k'ûmwôro kīrabura kátarogá.,La main de la pauvreté peut rendre même un bel enfant semblant abandonné.,Poverty's hand can make even a lovely child seem forlorn.,proverbs,,,,,,,33.0
,Akâna karí ubwênge gasīnzīra imbonamwūko.,Un individu sage se positionne là où les opportunités sont les plus visibles.,A wise individual positions themselves where opportunities are most visible.,proverbs,,,,,,,41.0
,Akêzá karîgura.,Un bon produit se vend de lui-même.,A good product sells itself.,proverbs,,,,,,,15.0
,Akêzá kēza umutíma.,Les choses les plus belles apportent la plus grande joie.,The most beautiful things bring the greatest joy.,proverbs,,,,,,,19.0
,Akăhabāye ntíkahavá.,"Ce qui est fait est fait, cela ne peut être défait.","What is done is done, it cannot be undone.",proverbs,,,,,,,20.0
,Akăje karêmerwa.,"Accepte la nuit, car elle dévoile les étoiles.","Accept the night, for it unveils the stars.",proverbs,,,,,,,16.0
,Akăje kárusha imbwá kwōta kaba gáshāka gushá.,Les fous se précipitent là où les anges craignent de s'aventurer.,Fools rush in where angels fear to tread.,proverbs,,,,,,,45.0
,Akămi kā mūntu ní umutíma wîwé.,Le cœur est le joyau de l'homme.,The heart is the jewel of a man.,proverbs,,,,,,,31.0
,Akănse urahéba.,Il vaut mieux abandonner une tâche impossible que de perdre du temps et de l'énergie.,It is better to abandon an impossible task than to waste time and energy.,proverbs,,,,,,,15.0
,Akŏsha umusyi kava mū ngásīro.,"Celui qui présente la tentation se trouve toujours à proximité, souvent parmi vos plus chers.","The one who presents temptation is always found close by, often among your dearest.",proverbs,,,,,,,30.0
,Akŭzuye ntíkamuríkwa.,Les faits visibles n'ont pas besoin de confirmation.,Visible facts need no confirmation.,proverbs,,,,,,,21.0
,Amaborōgo y'ûmwâgazi ntátērá impuhwe ingwe.,Les larmes de l'agneau ne touchent pas le cœur du tigre.,The lamb's tears do not move the tiger's heart.,proverbs,,,,,,,43.0
,Amabárankúru yashíkanye inyěnzi i Buha.,Un auditeur dévoué voyage loin pour des histoires qui captivent.,A dedicated listener journeys far for tales that captivate.,proverbs,,,,,,,39.0
,Amabóko ashikîriye ubuhîye yībagira umushike.,La fatigue de l'ouvrier fatigué s'efface lorsque le trésor du succès brille devant lui.,The weary laborer's fatigue fades when the treasure of success gleams before them.,proverbs,,,,,,,45.0
,Amabóko matīndi y'úmukŏbwa asegura uwĭshe sé.,Une femme insensée aide involontairement ses propres ennemis.,A foolish woman unwittingly aids her own enemies.,proverbs,,,,,,,45.0
,Amabānga abiri ntábāngíkana(w)a.,Vous ne pouvez pas monter deux chevaux avec un derrière.,You cannot ride two horses with one behind.,proverbs,,,,,,,32.0
,Amacúmu arwānyá inzara ní amasúka.,La table de l'abondance est dressée par la main laborieuse.,The table of abundance is set by the laboring hand.,proverbs,,,,,,,34.0
,Amacúmu atērwa abagabo.,Seuls les forts peuvent supporter le poids des défis de la vie.,Only the strong can bear the weight of life's challenges.,proverbs,,,,,,,23.0
,Amaguru yītāngira ku buriri agatāhira mu mirâmbizo.,Ceux qui s'efforcent d'être à l'avant-plan finissent souvent par être à la traîne.,Those who strive to be in the forefront often end up trailing behind.,proverbs,,,,,,,51.0
,Amagára aruta amagana.,Un corps sain vaut plus que toutes les richesses.,A healthy body is worth more than all the riches.,proverbs,,,,,,,22.0
,Amagúfa abiri ntábāngíkana mw'ītáma.,On ne peut pas tenir deux os dans la bouche simultanément.,Two bones cannot be held in the mouth simultaneously.,proverbs,,,,,,,36.0
,Amagŏrwa ntásigá ayăndi.,Les ennuis ne viennent jamais seuls.,Troubles never come alone.,proverbs,,,,,,,24.0
,Amagŏrwa sí ay'ŭmwe.,"L'adversité ne discrimine pas, elle touche tout le monde.","Adversity does not discriminate, it touches everyone.",proverbs,,,,,,,20.0
,Amaherá ntíyīrírwa ahó yarāyé.,"Comme le vent, l'argent voyage et change de mains.","Like the wind, money travels and changes hands.",proverbs,,,,,,,30.0
,Amahása avyinirwa ahό yavūkíye.,Les jumeaux sont célébrés là où ils sont nés.,Twins are celebrated where they were born.,proverbs,,,,,,,31.0
,Amahóro aba mū nda.,La vraie paix se trouve dans les profondeurs de l'âme.,True peace is found in the depths of the soul.,proverbs,,,,,,,19.0
,Amahóro aruta amahōnda.,"La paix est le véritable sustento de l'âme, surpassant tout festin.","Peace is the true sustenance of the soul, surpassing any feast.",proverbs,,,,,,,23.0
,Amahóro atāngurira mu mutíma.,La paix commence de l'intérieur.,Peace starts from within.,proverbs,,,,,,,29.0
,Amahóro ava (ahēra) mū nda.,La paix vient de l'intérieur.,Peace is from within.,proverbs,,,,,,,27.0
,Amajambo mashasha y’Ikirundi aravuka,les Nouveaux mots Kirundi naissent,New Kirundi words are born,general,,,,,,,36.0
,"Amakenga aba menshi, aca yiva inyuma ahenura urugi, arinjira.Asanga ibirago biriko birasha, urusenge narwo rugira rufatwe.","Les doutes prennent le dessus,puis il prend tout ces forces et poussant la porte, dès l'entrée il voit le tapis qui prenait feu et le toit etait sur le point de prendre le feu.","Doubts take over, then he takes all his strength and pushes the door, as soon as he enters he sees the carpet catching fire and the roof was about to catch fire.",general,,,,,,,122.0
,Amakúru atarímwo umukúru yāma arí amazímwe.,L'histoire est solide quand elle est confirmée par une voix officielle.,The story is solid when it echoes from the official voice.,proverbs,,,,,,,43.0
,Amanyáma arasara ntásabá.,L'arrogance disparaît face au besoin.,Arrogance disappears in the face of need.,proverbs,,,,,,,25.0
,Amanyáma atērwa n'ágashămbara.,L'arrogance est une ombre de prospérité qui disparaît avec l'adversité.,Arrogance is a shadow of prosperity that disappears with adversity.,proverbs,,,,,,,30.0
,Amarira ní umuheto w'úruhînja.,Les larmes sont le moyen pour un bébé d'exprimer ses besoins.,Tears are a baby's way of expressing needs.,proverbs,,,,,,,30.0
,Amarára ntágurá inyama.,Un désir excessif n'aboutit pas toujours à des résultats favorables.,Excess desire doesn't always lead to favorable outcomes.,proverbs,,,,,,,23.0
,Amaráso ava mu ruguma.,Une blessure libérera toujours du sang.,A wound will always release blood.,proverbs,,,,,,,22.0
,Amasabo aguma nk'ámabuye.,Demander de l'aide peut être une tâche redoutable.,Requesting assistance can be a daunting task.,proverbs,,,,,,,25.0
,Amasabo akwănkiye arāba imirázi.,Les signes d'échec apparaissent souvent dès le début.,The signs of failure often appear from the very beginning.,proverbs,,,,,,,32.0
,Amasabo arakíza.,Chercher de l'aide est la clé pour surmonter les défis.,Seeking help is the key to overcoming challenges.,proverbs,,,,,,,16.0
,Amasabo arîca.,Toujours s'appuyer sur les autres peut entraver la croissance personnelle.,Always leaning on others can hinder personal growth.,proverbs,,,,,,,14.0
,Amashure matoya atunganijwe mu myaka itandatu,L'école primaire est organisé  en six ans,Primary school is organized in six years,general,,,,,,,45.0
,Amashure yisumbuye,Écoles secondaires,Secondary schools,general,,,,,,,18.0
,Amashurwe ni meza.,Les fleurs sont belles.,The flowers are beautiful.,general,,,,,,,18.0
,Amasé ya kêra ntáhomá urutaro.,Les coutumes du passé ne correspondent plus aux comportements d'aujourd'hui.,The customs of the past no longer align with the behaviors of today.,proverbs,,,,,,,30.0
,Amasîndé y'înkúmi ntárārá.,Un champ dégagé d'une jeune fille ne reste pas inactif longtemps.,A cleared field of a young maiden doesn't stay idle for long.,proverbs,,,,,,,26.0
,Amasūnzu sí amasáka.,Ne tirez pas de conclusions basées sur l'apparence.,Don't jump to conclusions based on looks.,proverbs,,,,,,,20.0
,Amatwí yūmva icó umutíma ushasháye.,"Nous ne voyons pas les choses telles qu'elles sont, nous les voyons telles que nous sommes.","We don't see things as they are, we see things as we are.",proverbs,,,,,,,35.0
,Amaté mabí ní ayagîye gusa.,Même une petite portion vaut mieux que le vide complet.,Even a small portion is better than complete emptiness.,proverbs,,,,,,,27.0
,Amatégeko aremēra nk'ámabuye.,Les lois sont aussi rigides que les montagnes.,Laws are as rigid as mountains.,proverbs,,,,,,,29.0
,Amayira y'íshāmba amenywa n'îmêndé.,"Pour gagner en perspicacité, apprends de ceux qui ont vu la vue.","To gain insights, learn from those who have seen the view.",proverbs,,,,,,,35.0
,Amazi arakanye.,L'eau est froide.,The water is cold.,general,,,,,,,15.0
,Amazi asa neza,L'eau est très propre.,The water is very clean.,general,,,,,,,14.0
,Amazi ni meza.,L'eau est très propre.,The water is very clean.,general,,,,,,,14.0
,Amazina yawe ni ayahe?,Quel est votre nom?,What is your name?,general,,,,,,,22.0
,Amáta y'ûmwôro ní umúfa.,"Dans le silence de la solitude, une voix douce est une musique pour les oreilles.","In the silence of loneliness, a soft voice is music to the ears.",proverbs,,,,,,,24.0
,Amâso arasuma arí kure.,"Même à distance, les yeux peuvent faire un achat.","Even from a distance, eyes can make a purchase.",proverbs,,,,,,,23.0
,Amâso y'íbikére ntábuzá abavôma.,"Vos actions vous appartiennent, indépendamment de l'opinion des autres.","Your actions are yours to choose, regardless of others' opinions.",proverbs,,,,,,,32.0
,Amâso y'ύwŭndi ntágushĭmira umugeni.,Personne ne peut pleinement saisir la beauté de ta femme comme toi.,No one can fully grasp the beauty of your wife like you do.,proverbs,,,,,,,36.0
,Amâzi arashûha ntíyībágira i bŭmbehó.,"Pendant que vous atteignez de grandes hauteurs, ne perdez pas de vue vos origines et ceux qui vous ont soutenu.","While you achieve great heights, don't lose sight of your origins and the ones who supported you.",proverbs,,,,,,,37.0
,Amâzi asūmira ku mabuye.,L'eau crée du bruit ou du son lorsqu'elle rencontre des obstacles comme des pierres sur son chemin.,Water creates noise or sound when it encounters obstacles like stones in its path.,proverbs,,,,,,,24.0
,Amâzi iyό abāyé maké aharirwa impfîzi.,"En période de pénurie, les plus forts s'accaparent tout.","In times of scarcity, the strongest claim it all.",proverbs,,,,,,,38.0
,Amâzi masabano ntámará imvyíro.,"Un homme satisfait est celui qui cherche les choses par lui-même, pas celui à qui tout est donné.","A satisfied man is the one who seeks things by himself, not the one to whom everything is given.",proverbs,,,,,,,31.0
,Amênyo aragutwēnga arí ayâwé.,"Dans certaines situations, on peut trouver de l'humour en examinant comment on a pris une certaine décision malheureuse.","In certain situations, you can find humor in examining how you made a certain unfortunate decision.",proverbs,,,,,,,29.0
,Amênyo araryâna kăndi yêra.,Des dents blanches peuvent cacher une douleur invisible.,White teeth may hold unseen pain.,proverbs,,,,,,,27.0
,Amênyo aratwēnga asíze intîmba mū nda.,Un visage joyeux peut cacher un cœur tourmenté.,A cheerful face may mask a troubled heart.,proverbs,,,,,,,38.0
,Amîshitso y'úmugeni yōza inkόno icūmbá.,Son comportement est particulièrement agréable lorsqu'elle vient de se marier.,Her behavior is especially pleasant when she's just married.,proverbs,,,,,,,39.0
,Amôsozi y'úmugabo atēmba ája mū nda.,Les larmes de l'homme tombent dans le puits de son cœur.,Man's tears fall into the well of his heart.,proverbs,,,,,,,36.0
